,B: Growth scenario: 131-151ha,Option 4: Towns and refined villages of population 500+,B: Continue considering low impact dwellings under the same framework as conventional dwellings,B: Apply the identified key employment sites,CM(BP)C,CM(BP)D,CM(BP)E,CM(BP)F,CM(BP)G,BLAND A,BLAND B,BLAND E,FWPWM C,FWPWM H,FWPWM J,FWPWM K,STLSTI A,STLSTI H,SWAN C,SWAN D,SWAN E,SWAN H,VER A,VER B,VER C,THLC A,THLC D,THLC E,WARE I,WARE P,WARE Q,WIM A,WIM B,WIM C,WIM D,WIM E,WIM I,ALD A,ALD B,ALD C,ALD D,ALD E,ALD F,ALD G,ALD H,LYTM B,LYTM D,LYTM E,LYTM F,LYTM G,LYTM H,LYTM I,LYTM J,LYTM K,LYTM L,LYTM N,STUR B,STUR C,STUR E,STUR F,STUR G,STUR H,WOL C,WOL F,WOL G,WOL H,WOL I,WOL J,WOL K,DORCH A,DORCH D,DORCH E,DORCH F,DORCH G,DORCH H,WEY E,WEY G,WEY K,WEY L,WEY N,PORT I,PORT M,CROS A,CROS C,CROS F,CROS G,GILL H,GILL I,SHAF A,SHER A,SHER E,SHER F,YEO B,STAL B,STAL C,BEAM B,BEAM C,BEAM F,BEAM G,BEAM H,BEAM I,BRID A,BRID B,BRID C,BRID E,BRID F,BRID H,BRID J,BRID K,LYME B,LYME C
Biodiversity,-0.5,0.0,0.0,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,0.0,-0.5,0.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,-0.5,-0.5,-0.5
Soil,-0.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,0.0,0.0
Water,-0.5,0.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air,-0.5,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate Change,-0.5,0.5,0.0,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-1.0,-0.5,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0
Flooding & Coastal Change,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0
Landscape,-0.5,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-0.5,0.0,0.0,-1.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Historic Environment,-0.5,0.0,0.0,0.0,-0.5,-1.0,-1.0,-0.5,-1.0,0.0,0.0,-0.5,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,0.0,-0.5,-1.0,-1.0,-1.0,-0.5,-1.0,-0.5,0.0,-1.0,-0.5,-0.5,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.5,0.0,0.0,-0.5,0.0,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,-1.0,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
Community,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0
Housing,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Economy,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
